iter	Logloss
448	0.3679601262
449	0.3679006341
450	0.3677832786
451	0.3677350591
452	0.3676297477
453	0.3675206217
454	0.3674437705
455	0.3673665765
456	0.3673229003
457	0.3672285187
458	0.3669857068
459	0.3669362443
460	0.3668632079
461	0.3667394659
462	0.3667176493
463	0.3666622719
464	0.366651385
465	0.3665936074
466	0.366567976
467	0.3665252
468	0.3664835812
469	0.3664533637
470	0.3664229318
471	0.366403644
472	0.3662699582
473	0.366184749
474	0.3661075549
475	0.3660452339
476	0.3660452339
477	0.366045191
478	0.366013902
479	0.3659762265
480	0.3659756693
481	0.3658058938
482	0.3657427156
483	0.3656940246
484	0.3655035469
485	0.3654451692
486	0.3654269958
487	0.3653446155
488	0.3651690537
489	0.3651508374
490	0.365088645
491	0.3650324532
492	0.3650204091
493	0.3649461725
494	0.3648641779
495	0.3648643065
496	0.3647815833
497	0.3646776864
498	0.3646280524
499	0.3645650456
